origin_port,origin_name,destination_port,destination_name,carrier,vessel_name,departure_date,scheduled_arrival,actual_arrival,scheduled_days,actual_days,delay_days,year,month,on_time,id
TWTXG,Taichung,USSEA,Seattle,Wan Hai Lines,Wan Hai Ace,2023-04-11,2023-04-25,2023-04-25,14,14,0,2023,4,True,1337
TWKHH,Kaohsiung,USOAK,Oakland,MSC,COSCO Pearl,2023-04-12,2023-04-25,2023-04-25,13,13,0,2023,4,True,1338
TWTPE,Taipei (Keelung),USLGB,Long Beach,HMM,Yang Ming Progress,2023-04-14,2023-04-29,2023-04-29,15,15,0,2023,4,True,1339
TWTPE,Taipei (Keelung),USLAX,Los Angeles,Yang Ming,Wan Hai Champion,2023-04-13,2023-04-28,2023-04-28,15,15,0,2023,4,True,1340
TWTPE,Taipei (Keelung),USSEA,Seattle,Wan Hai Lines,COSCO Fortune,2023-04-15,2023-04-29,2023-04-29,14,14,0,2023,4,True,1341
TWTPE,Taipei (Keelung),USSEA,Seattle,Wan Hai Lines,Yang Ming Glory,2023-04-18,2023-05-02,2023-05-02,14,14,0,2023,4,True,1342
TWTPE,Taipei (Keelung),USOAK,Oakland,HMM,Wan Hai Ace,2023-04-15,2023-04-29,2023-04-29,14,14,0,2023,4,True,1343
TWTXG,Taichung,USLGB,Long Beach,Yang Ming,ONE Champion,2023-04-16,2023-04-30,2023-04-30,14,14.6,0.6,2023,4,True,1344
TWKHH,Kaohsiung,USOAK,Oakland,Maersk Line,Wan Hai Crown,2023-04-19,2023-05-02,2023-05-02,13,13.3,0.3,2023,4,True,1345
TWTXG,Taichung,USSEA,Seattle,Maersk Line,Maersk Champion,2023-04-15,2023-04-29,2023-04-29,14,14,0,2023,4,True,1346
TWTXG,Taichung,USLGB,Long Beach,Wan Hai Lines,Yang Ming Crown,2023-04-17,2023-05-01,2023-05-01,14,14,0,2023,4,True,1347
TWTPE,Taipei (Keelung),USLGB,Long Beach,Wan Hai Lines,Maersk Ace,2023-04-21,2023-05-06,2023-05-06,15,15.3,0.3,2023,4,True,1348
TWKHH,Kaohsiung,USOAK,Oakland,HMM,MSC Unity,2023-04-19,2023-05-02,2023-05-02,13,13,0,2023,4,True,1349
TWTPE,Taipei (Keelung),USOAK,Oakland,Maersk Line,COSCO Diamond,2023-04-16,2023-04-30,2023-04-30,14,14,0,2023,4,True,1350
TWTPE,Taipei (Keelung),USOAK,Oakland,Maersk Line,Wan Hai Star,2023-04-16,2023-04-30,2023-04-30,14,14,0,2023,4,True,1351
TWTPE,Taipei (Keelung),USOAK,Oakland,Maersk Line,COSCO Unity,2023-04-18,2023-05-02,2023-05-02,14,14,0,2023,4,True,1352
TWTPE,Taipei (Keelung),USSEA,Seattle,ONE (Ocean Network Express),Ever Pioneer,2023-04-15,2023-04-29,2023-04-29,14,14,0,2023,4,True,1353
TWTPE,Taipei (Keelung),USLGB,Long Beach,Maersk Line,Ever Pearl,2023-04-18,2023-05-03,2023-05-03,15,15.1,0.1,2023,4,True,1354
TWTXG,Taichung,USLGB,Long Beach,Maersk Line,Wan Hai Pearl,2023-04-16,2023-04-30,2023-04-30,14,14,0,2023,4,True,1355
TWTPE,Taipei (Keelung),USLAX,Los Angeles,ONE (Ocean Network Express),ONE Pioneer,2023-04-17,2023-05-02,2023-05-02,15,15,0,2023,4,True,1356
TWTPE,Taipei (Keelung),USLGB,Long Beach,COSCO Shipping,Maersk Success,2023-04-21,2023-05-06,2023-05-06,15,15,0,2023,4,True,1357
TWTPE,Taipei (Keelung),USOAK,Oakland,Yang Ming,Yang Ming Triumph,2023-04-15,2023-04-29,2023-04-29,14,14,0,2023,4,True,1358
TWTPE,Taipei (Keelung),USSEA,Seattle,HMM,Ever Crown,2023-04-20,2023-05-04,2023-05-04,14,14,0,2023,4,True,1359
TWTXG,Taichung,USSEA,Seattle,HMM,Yang Ming Leader,2023-04-20,2023-05-04,2023-05-04,14,14,0,2023,4,True,1360
TWTXG,Taichung,USSEA,Seattle,ONE (Ocean Network Express),Maersk Leader,2023-04-22,2023-05-06,2023-05-06,14,14,0,2023,4,True,1361
TWKHH,Kaohsiung,USSEA,Seattle,Evergreen Marine,Yang Ming Excellence,2023-04-22,2023-05-04,2023-05-04,12,12,0,2023,4,True,1362
TWTPE,Taipei (Keelung),USLGB,Long Beach,COSCO Shipping,Maersk Ace,2023-04-24,2023-05-09,2023-05-09,15,15,0,2023,4,True,1363
TWTPE,Taipei (Keelung),USSEA,Seattle,COSCO Shipping,ONE Pearl,2023-04-27,2023-05-11,2023-05-11,14,14,0,2023,4,True,1364
TWTXG,Taichung,USOAK,Oakland,Wan Hai Lines,Yang Ming Crown,2023-04-27,2023-05-11,2023-05-11,14,14.6,0.6,2023,4,True,1365
TWKHH,Kaohsiung,USLGB,Long Beach,Wan Hai Lines,Ever Fortune,2023-04-24,2023-05-08,2023-05-08,14,14,0,2023,4,True,1366
TWTXG,Taichung,USLAX,Los Angeles,Wan Hai Lines,Maersk Excellence,2023-04-28,2023-05-12,2023-05-12,14,14,0,2023,4,True,1367
TWKHH,Kaohsiung,USOAK,Oakland,MSC,Yang Ming Ace,2023-04-28,2023-05-11,2023-05-11,13,13,0,2023,4,True,1368
TWKHH,Kaohsiung,USLGB,Long Beach,Wan Hai Lines,COSCO Leader,2023-04-24,2023-05-08,2023-05-08,14,14,0,2023,4,True,1369
TWKHH,Kaohsiung,USLGB,Long Beach,MSC,Ever Triumph,2023-04-28,2023-05-12,2023-05-12,14,14,0,2023,4,True,1370
TWTPE,Taipei (Keelung),USLAX,Los Angeles,ONE (Ocean Network Express),Ever Progress,2023-04-28,2023-05-13,2023-05-13,15,15,0,2023,4,True,1371
TWTXG,Taichung,USLGB,Long Beach,Evergreen Marine,COSCO Progress,2023-04-25,2023-05-09,2023-05-10,14,15.4,1.4,2023,4,False,1372
TWTPE,Taipei (Keelung),USLGB,Long Beach,ONE (Ocean Network Express),Maersk Pearl,2023-04-23,2023-05-08,2023-05-08,15,15,0,2023,4,True,1373
TWKHH,Kaohsiung,USLAX,Los Angeles,Yang Ming,Yang Ming Crown,2023-04-23,2023-05-07,2023-05-07,14,14,0,2023,4,True,1374
TWKHH,Kaohsiung,USLAX,Los Angeles,MSC,MSC Excellence,2023-04-25,2023-05-09,2023-05-09,14,15.0,1.0,2023,4,True,1375
TWTPE,Taipei (Keelung),USLGB,Long Beach,Yang Ming,ONE Success,2023-04-23,2023-05-08,2023-05-08,15,15,0,2023,4,True,1376
TWTPE,Taipei (Keelung),USSEA,Seattle,Yang Ming,COSCO Fortune,2023-04-24,2023-05-08,2023-05-08,14,14,0,2023,4,True,1377
TWKHH,Kaohsiung,USSEA,Seattle,ONE (Ocean Network Express),COSCO Pearl,2023-04-28,2023-05-10,2023-05-10,12,12.4,0.4,2023,4,True,1378
TWKHH,Kaohsiung,USOAK,Oakland,Maersk Line,ONE Glory,2023-04-24,2023-05-07,2023-05-07,13,13,0,2023,4,True,1379
TWTPE,Taipei (Keelung),USOAK,Oakland,Yang Ming,MSC Ace,2023-04-23,2023-05-07,2023-05-08,14,15.6,1.6,2023,4,False,1380
TWTPE,Taipei (Keelung),USOAK,Oakland,Wan Hai Lines,Wan Hai Pioneer,2023-05-05,2023-05-19,2023-05-19,14,14.1,0.1,2023,5,True,1381
TWTPE,Taipei (Keelung),USLGB,Long Beach,Evergreen Marine,MSC Diamond,2023-05-03,2023-05-18,2023-05-18,15,15,0,2023,5,True,1382
TWTPE,Taipei (Keelung),USLAX,Los Angeles,COSCO Shipping,Yang Ming Fortune,2023-05-05,2023-05-20,2023-05-22,15,17.7,2.7,2023,5,False,1383
TWKHH,Kaohsiung,USLAX,Los Angeles,COSCO Shipping,Yang Ming Pioneer,2023-05-05,2023-05-19,2023-05-19,14,14,0,2023,5,True,1384
TWTPE,Taipei (Keelung),USLAX,Los Angeles,HMM,COSCO Pearl,2023-05-03,2023-05-18,2023-05-18,15,15.2,0.2,2023,5,True,1385
TWTPE,Taipei (Keelung),USLGB,Long Beach,ONE (Ocean Network Express),COSCO Champion,2023-05-04,2023-05-19,2023-05-19,15,15,0,2023,5,True,1386
TWTPE,Taipei (Keelung),USOAK,Oakland,HMM,Ever Star,2023-05-03,2023-05-17,2023-05-17,14,14.9,0.9,2023,5,True,1387
TWTPE,Taipei (Keelung),USOAK,Oakland,Wan Hai Lines,Wan Hai Excellence,2023-05-01,2023-05-15,2023-05-16,14,15.3,1.3,2023,5,False,1388
TWTPE,Taipei (Keelung),USSEA,Seattle,Yang Ming,MSC Pearl,2023-05-04,2023-05-18,2023-05-18,14,14,0,2023,5,True,1389
TWTPE,Taipei (Keelung),USOAK,Oakland,MSC,COSCO Ace,2023-04-29,2023-05-13,2023-05-13,14,14,0,2023,4,True,1390
TWKHH,Kaohsiung,USLGB,Long Beach,COSCO Shipping,COSCO Pearl,2023-04-29,2023-05-13,2023-05-13,14,14,0,2023,4,True,1391
TWKHH,Kaohsiung,USLAX,Los Angeles,Maersk Line,Yang Ming Pearl,2023-05-03,2023-05-17,2023-05-17,14,14,0,2023,5,True,1392
TWTPE,Taipei (Keelung),USOAK,Oakland,ONE (Ocean Network Express),Maersk Glory,2023-05-02,2023-05-16,2023-05-18,14,16.3,2.3,2023,5,False,1393
TWTXG,Taichung,USLGB,Long Beach,COSCO Shipping,Yang Ming Pearl,2023-05-02,2023-05-16,2023-05-16,14,14,0,2023,5,True,1394
TWTXG,Taichung,USLGB,Long Beach,Evergreen Marine,Yang Ming Star,2023-05-05,2023-05-19,2023-05-19,14,14,0,2023,5,True,1395
TWTXG,Taichung,USOAK,Oakland,Wan Hai Lines,Maersk Pearl,2023-05-03,2023-05-17,2023-05-17,14,14,0,2023,5,True,1396
TWTXG,Taichung,USLAX,Los Angeles,MSC,Maersk Champion,2023-05-05,2023-05-19,2023-05-19,14,14,0,2023,5,True,1397
TWTXG,Taichung,USLGB,Long Beach,Wan Hai Lines,Ever Ace,2023-05-01,2023-05-15,2023-05-15,14,14,0,2023,5,True,1398
TWKHH,Kaohsiung,USLGB,Long Beach,Wan Hai Lines,Maersk Unity,2023-05-05,2023-05-19,2023-05-19,14,14.7,0.7,2023,5,True,1399
TWTPE,Taipei (Keelung),USLGB,Long Beach,Evergreen Marine,COSCO Leader,2023-05-01,2023-05-16,2023-05-16,15,15,0,2023,5,True,1400
TWTPE,Taipei (Keelung),USLAX,Los Angeles,Yang Ming,MSC Crown,2023-05-06,2023-05-21,2023-05-21,15,15,0,2023,5,True,1401
TWTPE,Taipei (Keelung),USLGB,Long Beach,HMM,Yang Ming Unity,2023-05-10,2023-05-25,2023-05-25,15,15.0,0.0,2023,5,True,1402
TWTPE,Taipei (Keelung),USOAK,Oakland,HMM,Maersk Unity,2023-05-06,2023-05-20,2023-05-20,14,14.7,0.7,2023,5,True,1403
TWTXG,Taichung,USSEA,Seattle,ONE (Ocean Network Express),Ever Unity,2023-05-10,2023-05-24,2023-05-24,14,14.2,0.2,2023,5,True,1404
TWKHH,Kaohsiung,USLAX,Los Angeles,Yang Ming,Ever Crown,2023-05-10,2023-05-24,2023-05-24,14,14.5,0.5,2023,5,True,1405
TWKHH,Kaohsiung,USOAK,Oakland,ONE (Ocean Network Express),ONE Pioneer,2023-05-10,2023-05-23,2023-05-23,13,13,0,2023,5,True,1406
TWTXG,Taichung,USLAX,Los Angeles,HMM,ONE Progress,2023-05-08,2023-05-22,2023-05-22,14,14,0,2023,5,True,1407
TWTXG,Taichung,USLAX,Los Angeles,ONE (Ocean Network Express),MSC Diamond,2023-05-09,2023-05-23,2023-05-24,14,15.2,1.2,2023,5,False,1408
TWKHH,Kaohsiung,USLGB,Long Beach,Wan Hai Lines,Ever Ace,2023-05-10,2023-05-24,2023-05-24,14,14,0,2023,5,True,1409
TWTPE,Taipei (Keelung),USLAX,Los Angeles,ONE (Ocean Network Express),ONE Fortune,2023-05-08,2023-05-23,2023-05-23,15,15,0,2023,5,True,1410
TWTXG,Taichung,USSEA,Seattle,Maersk Line,Wan Hai Pearl,2023-05-12,2023-05-26,2023-05-26,14,14.9,0.9,2023,5,True,1411
TWTXG,Taichung,USOAK,Oakland,COSCO Shipping,Wan Hai Progress,2023-05-08,2023-05-22,2023-05-22,14,14.0,0.0,2023,5,True,1412
TWKHH,Kaohsiung,USOAK,Oakland,Maersk Line,ONE Crown,2023-05-09,2023-05-22,2023-05-22,13,13,0,2023,5,True,1413
TWKHH,Kaohsiung,USLGB,Long Beach,MSC,MSC Pioneer,2023-05-10,2023-05-24,2023-05-26,14,16.8,2.8,2023,5,False,1414
TWTPE,Taipei (Keelung),USLGB,Long Beach,HMM,ONE Glory,2023-05-12,2023-05-27,2023-05-27,15,15,0,2023,5,True,1415
TWTPE,Taipei (Keelung),USOAK,Oakland,COSCO Shipping,Wan Hai Pearl,2023-05-10,2023-05-24,2023-05-24,14,14.4,0.4,2023,5,True,1416
TWTPE,Taipei (Keelung),USLAX,Los Angeles,Yang Ming,MSC Pioneer,2023-05-11,2023-05-26,2023-05-26,15,15,0,2023,5,True,1417
TWTPE,Taipei (Keelung),USSEA,Seattle,Wan Hai Lines,ONE Pioneer,2023-05-11,2023-05-25,2023-05-25,14,14,0,2023,5,True,1418
TWKHH,Kaohsiung,USOAK,Oakland,HMM,Wan Hai Excellence,2023-05-12,2023-05-25,2023-05-26,13,14.3,1.3,2023,5,False,1419
TWTPE,Taipei (Keelung),USOAK,Oakland,Wan Hai Lines,Yang Ming Excellence,2023-05-12,2023-05-26,2023-05-26,14,14.0,0.0,2023,5,True,1420
TWKHH,Kaohsiung,USSEA,Seattle,HMM,COSCO Unity,2023-05-17,2023-05-29,2023-05-29,12,12.0,0.0,2023,5,True,1421
TWTPE,Taipei (Keelung),USLAX,Los Angeles,Evergreen Marine,Maersk Progress,2023-05-14,2023-05-29,2023-05-29,15,15.6,0.6,2023,5,True,1422
TWTXG,Taichung,USLAX,Los Angeles,HMM,ONE Star,2023-05-15,2023-05-29,2023-05-29,14,14,0,2023,5,True,1423
TWKHH,Kaohsiung,USLAX,Los Angeles,MSC,Ever Star,2023-05-18,2023-06-01,2023-06-01,14,14,0,2023,5,True,1424
TWTPE,Taipei (Keelung),USOAK,Oakland,Evergreen Marine,MSC Unity,2023-05-18,2023-06-01,2023-06-01,14,14,0,2023,5,True,1425
TWTPE,Taipei (Keelung),USSEA,Seattle,Wan Hai Lines,COSCO Champion,2023-05-18,2023-06-01,2023-06-01,14,14,0,2023,5,True,1426
TWTXG,Taichung,USSEA,Seattle,Maersk Line,Wan Hai Champion,2023-05-15,2023-05-29,2023-05-31,14,16.5,2.5,2023,5,False,1427
TWTXG,Taichung,USSEA,Seattle,MSC,ONE Fortune,2023-05-14,2023-05-28,2023-05-28,14,14,0,2023,5,True,1428
TWTXG,Taichung,USLAX,Los Angeles,MSC,Maersk Glory,2023-05-18,2023-06-01,2023-06-01,14,14,0,2023,5,True,1429
TWKHH,Kaohsiung,USLAX,Los Angeles,ONE (Ocean Network Express),MSC Triumph,2023-05-17,2023-05-31,2023-05-31,14,14,0,2023,5,True,1430
TWTXG,Taichung,USLGB,Long Beach,Wan Hai Lines,ONE Triumph,2023-05-14,2023-05-28,2023-05-28,14,14,0,2023,5,True,1431
TWKHH,Kaohsiung,USSEA,Seattle,Yang Ming,Wan Hai Glory,2023-05-18,2023-05-30,2023-05-30,12,12.3,0.3,2023,5,True,1432
TWKHH,Kaohsiung,USSEA,Seattle,ONE (Ocean Network Express),ONE Pioneer,2023-05-17,2023-05-29,2023-05-29,12,12.3,0.3,2023,5,True,1433
TWTPE,Taipei (Keelung),USSEA,Seattle,MSC,Yang Ming Glory,2023-05-14,2023-05-28,2023-05-28,14,14,0,2023,5,True,1434
TWTPE,Taipei (Keelung),USOAK,Oakland,ONE (Ocean Network Express),Wan Hai Progress,2023-05-14,2023-05-28,2023-05-28,14,14,0,2023,5,True,1435
TWKHH,Kaohsiung,USLGB,Long Beach,ONE (Ocean Network Express),Yang Ming Champion,2023-05-15,2023-05-29,2023-05-29,14,14,0,2023,5,True,1436
TWTPE,Taipei (Keelung),USLAX,Los Angeles,HMM,ONE Glory,2023-05-15,2023-05-30,2023-05-30,15,15,0,2023,5,True,1437
TWTXG,Taichung,USOAK,Oakland,Evergreen Marine,Maersk Fortune,2023-05-13,2023-05-27,2023-05-28,14,15.4,1.4,2023,5,False,1438
TWTXG,Taichung,USOAK,Oakland,Wan Hai Lines,Ever Success,2023-05-13,2023-05-27,2023-05-27,14,14,0,2023,5,True,1439
TWKHH,Kaohsiung,USLAX,Los Angeles,ONE (Ocean Network Express),Wan Hai Fortune,2023-05-15,2023-05-29,2023-05-29,14,14.2,0.2,2023,5,True,1440
TWKHH,Kaohsiung,USOAK,Oakland,Wan Hai Lines,MSC Excellence,2023-05-24,2023-06-06,2023-06-06,13,13.1,0.1,2023,5,True,1441
TWTXG,Taichung,USLAX,Los Angeles,Evergreen Marine,Ever Leader,2023-05-24,2023-06-07,2023-06-07,14,14.7,0.7,2023,5,True,1442
TWTPE,Taipei (Keelung),USLGB,Long Beach,Evergreen Marine,ONE Pearl,2023-05-22,2023-06-06,2023-06-06,15,15,0,2023,5,True,1443
TWTXG,Taichung,USSEA,Seattle,Wan Hai Lines,Maersk Excellence,2023-05-25,2023-06-08,2023-06-08,14,14,0,2023,5,True,1444
TWTXG,Taichung,USLAX,Los Angeles,Yang Ming,COSCO Triumph,2023-05-21,2023-06-04,2023-06-04,14,14,0,2023,5,True,1445
TWKHH,Kaohsiung,USOAK,Oakland,COSCO Shipping,COSCO Champion,2023-05-20,2023-06-02,2023-06-02,13,13,0,2023,5,True,1446
TWTXG,Taichung,USLAX,Los Angeles,ONE (Ocean Network Express),Yang Ming Diamond,2023-05-20,2023-06-03,2023-06-03,14,14,0,2023,5,True,1447
TWTXG,Taichung,USLAX,Los Angeles,Evergreen Marine,Yang Ming Ace,2023-05-22,2023-06-05,2023-06-05,14,14.1,0.1,2023,5,True,1448
TWTPE,Taipei (Keelung),USLGB,Long Beach,COSCO Shipping,Wan Hai Diamond,2023-05-23,2023-06-07,2023-06-07,15,15.8,0.8,2023,5,True,1449
TWTPE,Taipei (Keelung),USLAX,Los Angeles,Wan Hai Lines,Maersk Champion,2023-05-21,2023-06-05,2023-06-05,15,15,0,2023,5,True,1450
TWTXG,Taichung,USOAK,Oakland,Maersk Line,Yang Ming Diamond,2023-05-23,2023-06-06,2023-06-06,14,14,0,2023,5,True,1451
TWTXG,Taichung,USOAK,Oakland,Evergreen Marine,COSCO Pearl,2023-05-23,2023-06-06,2023-06-07,14,15.6,1.6,2023,5,False,1452
TWTPE,Taipei (Keelung),USSEA,Seattle,COSCO Shipping,ONE Crown,2023-05-22,2023-06-05,2023-06-05,14,14,0,2023,5,True,1453
TWTPE,Taipei (Keelung),USOAK,Oakland,Evergreen Marine,MSC Star,2023-05-24,2023-06-07,2023-06-11,14,18.3,4.3,2023,5,False,1454
TWTPE,Taipei (Keelung),USLAX,Los Angeles,HMM,Yang Ming Ace,2023-05-25,2023-06-09,2023-06-09,15,15.0,0.0,2023,5,True,1455
TWTXG,Taichung,USLGB,Long Beach,Yang Ming,Ever Triumph,2023-05-20,2023-06-03,2023-06-03,14,14,0,2023,5,True,1456
TWTPE,Taipei (Keelung),USLAX,Los Angeles,MSC,Yang Ming Star,2023-05-21,2023-06-05,2023-06-05,15,15.2,0.2,2023,5,True,1457
TWTPE,Taipei (Keelung),USSEA,Seattle,Maersk Line,Wan Hai Pearl,2023-05-22,2023-06-05,2023-06-05,14,14,0,2023,5,True,1458
TWTXG,Taichung,USOAK,Oakland,Yang Ming,COSCO Pearl,2023-05-20,2023-06-03,2023-06-03,14,14.9,0.9,2023,5,True,1459
TWKHH,Kaohsiung,USLAX,Los Angeles,HMM,Yang Ming Triumph,2023-05-24,2023-06-07,2023-06-07,14,14.1,0.1,2023,5,True,1460
TWTPE,Taipei (Keelung),USLGB,Long Beach,Evergreen Marine,COSCO Crown,2023-05-29,2023-06-13,2023-06-13,15,15,0,2023,5,True,1461
TWTPE,Taipei (Keelung),USLGB,Long Beach,HMM,COSCO Star,2023-05-27,2023-06-11,2023-06-11,15,15,0,2023,5,True,1462
TWTXG,Taichung,USLGB,Long Beach,Wan Hai Lines,ONE Ace,2023-05-30,2023-06-13,2023-06-13,14,14,0,2023,5,True,1463
TWTPE,Taipei (Keelung),USLGB,Long Beach,ONE (Ocean Network Express),COSCO Progress,2023-05-30,2023-06-14,2023-06-14,15,15,0,2023,5,True,1464
TWTXG,Taichung,USSEA,Seattle,ONE (Ocean Network Express),COSCO Excellence,2023-05-30,2023-06-13,2023-06-13,14,14,0,2023,5,True,1465
TWTPE,Taipei (Keelung),USOAK,Oakland,ONE (Ocean Network Express),Yang Ming Star,2023-06-01,2023-06-15,2023-06-15,14,14.2,0.2,2023,6,True,1466
TWTXG,Taichung,USLGB,Long Beach,COSCO Shipping,MSC Champion,2023-05-28,2023-06-11,2023-06-12,14,15.5,1.5,2023,5,False,1467
TWTXG,Taichung,USLGB,Long Beach,MSC,COSCO Success,2023-06-02,2023-06-16,2023-06-16,14,14,0,2023,6,True,1468
TWTPE,Taipei (Keelung),USOAK,Oakland,Maersk Line,Yang Ming Pioneer,2023-06-01,2023-06-15,2023-06-15,14,14,0,2023,6,True,1469
TWKHH,Kaohsiung,USSEA,Seattle,HMM,Wan Hai Diamond,2023-05-27,2023-06-08,2023-06-08,12,12,0,2023,5,True,1470
TWTXG,Taichung,USSEA,Seattle,COSCO Shipping,Yang Ming Excellence,2023-05-27,2023-06-10,2023-06-10,14,14.7,0.7,2023,5,True,1471
TWTXG,Taichung,USLGB,Long Beach,ONE (Ocean Network Express),Maersk Pioneer,2023-06-01,2023-06-15,2023-06-15,14,14,0,2023,6,True,1472
TWKHH,Kaohsiung,USSEA,Seattle,COSCO Shipping,COSCO Unity,2023-05-27,2023-06-08,2023-06-08,12,12,0,2023,5,True,1473
TWTXG,Taichung,USLGB,Long Beach,Wan Hai Lines,MSC Pioneer,2023-05-29,2023-06-12,2023-06-12,14,14,0,2023,5,True,1474
TWTXG,Taichung,USLGB,Long Beach,ONE (Ocean Network Express),Wan Hai Progress,2023-05-28,2023-06-11,2023-06-11,14,14,0,2023,5,True,1475
TWKHH,Kaohsiung,USLGB,Long Beach,HMM,Wan Hai Unity,2023-06-02,2023-06-16,2023-06-16,14,14.2,0.2,2023,6,True,1476
TWTXG,Taichung,USLAX,Los Angeles,Yang Ming,ONE Glory,2023-06-01,2023-06-15,2023-06-15,14,14,0,2023,6,True,1477
TWKHH,Kaohsiung,USLAX,Los Angeles,Evergreen Marine,Wan Hai Pearl,2023-05-27,2023-06-10,2023-06-10,14,14,0,2023,5,True,1478
TWKHH,Kaohsiung,USOAK,Oakland,COSCO Shipping,MSC Triumph,2023-05-29,2023-06-11,2023-06-11,13,13,0,2023,5,True,1479
TWKHH,Kaohsiung,USOAK,Oakland,Yang Ming,Wan Hai Unity,2023-06-02,2023-06-15,2023-06-15,13,13,0,2023,6,True,1480
TWTPE,Taipei (Keelung),USSEA,Seattle,Evergreen Marine,MSC Ace,2023-06-06,2023-06-20,2023-06-20,14,14.3,0.3,2023,6,True,1481
TWTPE,Taipei (Keelung),USSEA,Seattle,MSC,ONE Success,2023-06-05,2023-06-19,2023-06-19,14,14,0,2023,6,True,1482
TWTPE,Taipei (Keelung),USSEA,Seattle,MSC,Yang Ming Excellence,2023-06-08,2023-06-22,2023-06-23,14,15.9,1.9,2023,6,False,1483
TWTXG,Taichung,USOAK,Oakland,COSCO Shipping,COSCO Leader,2023-06-07,2023-06-21,2023-06-21,14,14,0,2023,6,True,1484
TWTPE,Taipei (Keelung),USLAX,Los Angeles,Yang Ming,ONE Ace,2023-06-06,2023-06-21,2023-06-21,15,15,0,2023,6,True,1485
TWTPE,Taipei (Keelung),USLAX,Los Angeles,Wan Hai Lines,ONE Crown,2023-06-03,2023-06-18,2023-06-18,15,15.5,0.5,2023,6,True,1486
TWKHH,Kaohsiung,USLGB,Long Beach,Wan Hai Lines,Wan Hai Glory,2023-06-03,2023-06-17,2023-06-17,14,14,0,2023,6,True,1487
TWKHH,Kaohsiung,USLGB,Long Beach,Yang Ming,ONE Glory,2023-06-09,2023-06-23,2023-06-23,14,14,0,2023,6,True,1488
TWKHH,Kaohsiung,USLAX,Los Angeles,MSC,ONE Diamond,2023-06-08,2023-06-22,2023-06-22,14,14,0,2023,6,True,1489
TWTXG,Taichung,USLAX,Los Angeles,HMM,MSC Pearl,2023-06-04,2023-06-18,2023-06-18,14,15.0,1.0,2023,6,True,1490
TWTPE,Taipei (Keelung),USLAX,Los Angeles,Yang Ming,Ever Star,2023-06-07,2023-06-22,2023-06-22,15,15,0,2023,6,True,1491
TWKHH,Kaohsiung,USLGB,Long Beach,Yang Ming,Yang Ming Glory,2023-06-08,2023-06-22,2023-06-26,14,18.6,4.6,2023,6,False,1492
TWTXG,Taichung,USLAX,Los Angeles,ONE (Ocean Network Express),ONE Ace,2023-06-03,2023-06-17,2023-06-17,14,14,0,2023,6,True,1493
TWKHH,Kaohsiung,USLGB,Long Beach,Yang Ming,COSCO Excellence,2023-06-03,2023-06-17,2023-06-17,14,14,0,2023,6,True,1494
TWTXG,Taichung,USLGB,Long Beach,COSCO Shipping,MSC Progress,2023-06-06,2023-06-20,2023-06-21,14,15.5,1.5,2023,6,False,1495
TWTXG,Taichung,USLGB,Long Beach,Maersk Line,MSC Ace,2023-06-06,2023-06-20,2023-06-22,14,16.6,2.6,2023,6,False,1496
TWTXG,Taichung,USLAX,Los Angeles,Wan Hai Lines,Maersk Fortune,2023-06-06,2023-06-20,2023-06-22,14,16.8,2.8,2023,6,False,1497
TWKHH,Kaohsiung,USLGB,Long Beach,Maersk Line,Yang Ming Diamond,2023-06-04,2023-06-18,2023-06-18,14,14.9,0.9,2023,6,True,1498
TWTXG,Taichung,USLGB,Long Beach,Yang Ming,MSC Crown,2023-06-08,2023-06-22,2023-06-22,14,14.7,0.7,2023,6,True,1499
TWKHH,Kaohsiung,USLGB,Long Beach,MSC,ONE Champion,2023-06-04,2023-06-18,2023-06-18,14,14.2,0.2,2023,6,True,1500
TWKHH,Kaohsiung,USOAK,Oakland,Yang Ming,Wan Hai Star,2023-06-10,2023-06-23,2023-06-23,13,13.4,0.4,2023,6,True,1501
TWTPE,Taipei (Keelung),USOAK,Oakland,COSCO Shipping,Maersk Progress,2023-06-11,2023-06-25,2023-06-25,14,14,0,2023,6,True,1502
TWKHH,Kaohsiung,USSEA,Seattle,Evergreen Marine,Wan Hai Ace,2023-06-13,2023-06-25,2023-06-25,12,12,0,2023,6,True,1503
TWKHH,Kaohsiung,USOAK,Oakland,Maersk Line,MSC Unity,2023-06-15,2023-06-28,2023-06-28,13,13,0,2023,6,True,1504
TWTPE,Taipei (Keelung),USLAX,Los Angeles,Wan Hai Lines,Maersk Leader,2023-06-14,2023-06-29,2023-06-29,15,15,0,2023,6,True,1505
TWTPE,Taipei (Keelung),USOAK,Oakland,Wan Hai Lines,Wan Hai Unity,2023-06-16,2023-06-30,2023-06-30,14,14,0,2023,6,True,1506
TWTPE,Taipei (Keelung),USLAX,Los Angeles,HMM,Wan Hai Pioneer,2023-06-10,2023-06-25,2023-06-25,15,15.3,0.3,2023,6,True,1507
TWKHH,Kaohsiung,USLGB,Long Beach,COSCO Shipping,ONE Diamond,2023-06-12,2023-06-26,2023-06-26,14,14.6,0.6,2023,6,True,1508
TWTPE,Taipei (Keelung),USSEA,Seattle,Maersk Line,Maersk Excellence,2023-06-16,2023-06-30,2023-06-30,14,14,0,2023,6,True,1509
TWTXG,Taichung,USOAK,Oakland,COSCO Shipping,Yang Ming Excellence,2023-06-15,2023-06-29,2023-06-30,14,15.4,1.4,2023,6,False,1510
